datetime,close,perc_return,cum_return,log_return,volume,trades
2019-04-29 06:00:00,4.302,,,,159193.966,470
2019-04-29 06:01:00,4.276,-0.60437,-0.00604,-0.6062,46509.507,260
2019-04-29 06:02:00,4.171,-2.45557,-0.03045,-2.48622,90260.338,298
2019-04-29 06:03:00,4.203,0.7672,-0.02301,0.76427,28693.08,150
2019-04-29 06:04:00,4.177,-0.61861,-0.02906,-0.62053,30136.229,138
2019-04-29 06:05:00,4.202,0.59852,-0.02325,0.59674,12527.913,79
2019-04-29 06:06:00,4.191,-0.26178,-0.0258,-0.26212,15175.023,51
2019-04-29 06:07:00,4.196,0.1193,-0.02464,0.11923,7983.659,64
2019-04-29 06:08:00,4.111,-2.02574,-0.0444,-2.04654,41058.023,54
2019-04-29 06:09:00,4.043,-1.6541,-0.0602,-1.66793,38234.123,219
