datetime,close,perc_return,cum_return,log_return,volume,trades
2020-08-19 01:00:00,3.2,,,,753233.38,2636
2020-08-19 01:01:00,3.213,0.40625,0.00406,0.40543,235045.94,1276
2020-08-19 01:02:00,3.0465,-5.18207,-0.04797,-5.32117,217558.31,894
2020-08-19 01:03:00,3.1329,2.83604,-0.02097,2.79657,102551.39,793
2020-08-19 01:04:00,2.9999,-4.24527,-0.06253,-4.33802,163472.56,676
2020-08-19 01:05:00,3.0007,0.02667,-0.06228,0.02667,258622.8,542
2020-08-19 01:06:00,2.9,-3.35588,-0.09375,-3.41348,127450.63,805
2020-08-19 01:07:00,2.85,-1.72414,-0.10937,-1.73918,83517.35,417
2020-08-19 01:08:00,2.8879,1.32982,-0.09753,1.32106,107020.29,399
2020-08-19 01:09:00,2.9261,1.32276,-0.08559,1.31409,146786.99,522
