datetime,close,perc_return,cum_return,log_return,volume,trades
2019-01-16 11:00:00,0.5194,,,,91.11,2
2019-01-16 11:01:00,0.505,-2.77243,-0.02772,-2.81159,1541.34,5
2019-01-16 11:02:00,0.53,4.9505,0.02041,4.83186,6709.0,5
2019-01-16 11:03:00,0.5247,-1.0,0.0102,-1.00503,305.76,2
2019-01-16 11:04:00,0.5198,-0.93387,0.00077,-0.93826,10490.68,11
2019-01-16 11:05:00,0.5143,-1.0581,-0.00982,-1.06374,315.91,3
2019-01-16 11:06:00,0.5199,1.08886,0.00096,1.08297,1274.95,2
2019-01-16 11:07:00,0.5192,-0.13464,-0.00039,-0.13473,549.13,3
2019-01-16 11:08:00,0.5192,0.0,-0.00039,0.0,0.0,0
2019-01-16 11:09:00,0.515,-0.80894,-0.00847,-0.81223,20.0,1
