datetime,close,perc_return,cum_return,log_return,volume,trades
2020-08-21 12:00:00,0.4813,,,,64693.37,191
2020-08-21 12:01:00,0.4936,2.55558,0.02556,2.52347,121230.21,273
2020-08-21 12:02:00,0.495,0.28363,0.02846,0.28323,15496.49,47
2020-08-21 12:03:00,0.4878,-1.45455,0.01351,-1.46523,54235.5,71
2020-08-21 12:04:00,0.4852,-0.53301,0.0081,-0.53444,13402.63,25
2020-08-21 12:05:00,0.4836,-0.32976,0.00478,-0.3303,33518.16,25
2020-08-21 12:06:00,0.481,-0.53763,-0.00062,-0.53908,87877.62,82
2020-08-21 12:07:00,0.485,0.8316,0.00769,0.82816,1748.69,8
2020-08-21 12:08:00,0.483,-0.41237,0.00353,-0.41322,3693.81,13
2020-08-21 12:09:00,0.4827,-0.06211,0.00291,-0.06213,13456.33,11
