datetime,close,perc_return,cum_return,log_return,volume,trades
2021-05-10 13:00:00,3.3e-05,,,,1051269191041,58171
2021-05-10 13:01:00,3.216e-05,-2.54545,-0.02545,-2.57841,484040601741,26739
2021-05-10 13:02:00,3.019e-05,-6.12562,-0.08515,-6.32127,332926691304,17331
2021-05-10 13:03:00,3.001e-05,-0.59622,-0.09061,-0.598,319957122464,17901
2021-05-10 13:04:00,2.7e-05,-10.02999,-0.18182,-10.56938,249241397212,13129
2021-05-10 13:05:00,3.007e-05,11.37037,-0.08879,10.76911,319309888712,13500
2021-05-10 13:06:00,3.4e-05,13.0695,0.0303,12.28325,373074779904,16392
2021-05-10 13:07:00,4.112e-05,20.94118,0.24606,19.01341,492361630563,25779
2021-05-10 13:08:00,3.9e-05,-5.15564,0.18182,-5.2933,361567636800,18838
2021-05-10 13:09:00,3.752e-05,-3.79487,0.13697,-3.86875,373275365839,18356
