datetime,close,perc_return,cum_return,log_return,volume,trades
2020-08-11 08:00:00,2.85,,,,3.6,1
2020-08-11 08:01:00,2.85,0.0,0.0,0.0,0.0,0
2020-08-11 08:02:00,2.85,0.0,0.0,0.0,0.0,0
2020-08-11 08:03:00,3.0003,5.27368,0.05274,5.13932,3410.31,7
2020-08-11 08:04:00,3.1852,6.16272,0.11761,5.98028,313.95,1
2020-08-11 08:05:00,3.47,8.94135,0.21754,8.56395,1054.37,14
2020-08-11 08:06:00,3.2,-7.78098,0.12281,-8.10038,892.21,13
2020-08-11 08:07:00,3.189,-0.34375,0.11895,-0.34434,205.7,5
2020-08-11 08:08:00,3.1846,-0.13797,0.1174,-0.13807,130.71,2
2020-08-11 08:09:00,3.1846,0.0,0.1174,0.0,0.0,0
